year,data
2018,138.7090549
2019,139.9175069
2020,93.61281297
2021,95.02387959
2022,101.8669497
2023,113.7464422
2024,120.3893097
2025,119.1808577
2026,117.7722032
2027,116.3635487
2028,114.9548941
2029,113.5438275
2030,112.1351729
2031,106.4981427
2032,102.875199
2033,98.24400598
2034,93.61281297
2035,88.98403203
2036,83.14438709
2037,77.10453953
2038,71.26730667
2039,65.22745912
2040,59.39022625
2041,53.3503787
2042,47.31053114
2043,41.4708862
2044,35.43345072
2045,29.59380578
2046,23.55395822
2047,17.71672536
2048,11.6768778
2049,5.637030247
2050,0
