year,data_upper,data_lower
2018,138.7090549,0
2019,139.9175069,0
2020,93.61281297,0.402817309
2021,95.02387959,0.402817309
2022,101.8669497,0.605432003
2023,113.7464422,0.803222538
2024,120.3893097,1.208451927
2025,119.1808577,1.208451927
2026,117.7722032,1.408654542
2027,116.3635487,1.608857157
2028,114.9548941,1.811471851
2029,113.5438275,2.014086545
2030,112.1351729,2.414491775
2031,106.4981427,2.416903855
2032,102.875199,2.817309084
2033,98.24400598,3.019923778
2034,93.61281297,3.222538473
2035,88.98403203,3.422741087
2036,83.14438709,3.422741087
2037,77.10453953,3.825558396
2038,71.26730667,3.825558396
2039,65.22745912,4.228375706
2040,59.39022625,4.225963626
2041,53.3503787,4.628780935
2042,47.31053114,4.831395629
2043,41.4708862,5.034010324
2044,35.43345072,5.234212938
2045,29.59380578,5.436827633
2046,23.55395822,5.637030247
2047,17.71672536,5.837232862
2048,11.6768778,6.039847557
2049,5.637030247,6.442664866
2050,0,5.034010324
