year,data_upper,data_lower
2018,181.1881905,0
2019,183.4024796,0
2020,108.5122292,1.6088572
2021,116.3635487,2.8173091
2022,133.0720247,4.4285783
2023,159.2430894,5.8396449
2024,176.1541801,7.2482995
2025,178.7712866,8.656954
2026,181.3883931,10.268223
2027,184.0054995,11.676878
2028,186.622606,13.288147
2029,189.4423272,14.494187
2030,192.0594336,16.105456
2031,194.2737228,18.119543
2032,196.6906267,19.928602
2033,199.1051184,21.742486
2034,201.5220223,23.553958
2035,203.7363114,25.768247
2036,206.1508032,27.582131
2037,208.5677071,29.391191
2038,210.7819962,31.405278
2039,213.1989001,33.216749
2040,215.6133919,35.230836
2041,217.827681,37.244923
2042,220.2445849,39.053982
2043,222.6590767,40.867866
2044,224.8733658,43.082155
2045,227.2902697,44.893627
2046,229.7047614,46.707511
2047,232.1216653,48.518983
2048,234.3359545,50.530658
2049,236.7528583,52.544744
2050,239.1673501,54.356216
