year,data
2018,181.1881905
2019,183.4024796
2020,110.1210864
2021,119.1808577
2022,137.500603
2023,165.0827343
2024,183.4024796
2025,187.4282406
2026,191.6566163
2027,195.6823773
2028,199.9107531
2029,203.9365141
2030,208.1648898
2031,212.3932655
2032,216.6192291
2033,220.8476048
2034,225.0759805
2035,229.5045588
2036,233.7329345
2037,237.9588982
2038,242.1872739
2039,246.4156496
2040,250.8442279
2041,255.0726036
2042,259.2985672
2043,263.5269429
2044,267.9555213
2045,272.183897
2046,276.4122727
2047,280.6406484
2048,284.866612
2049,289.2976024
2050,293.523566
