year,lower_bar_position,bar_value
2018,181.1881905,0
2019,183.4024796,0
2020,106.90096,0.603019924
2021,112.9408076,1.408654542
2022,128.2406291,2.014086545
2023,152.8028366,2.617106469
2024,167.9000434,3.422741087
2025,169.1084953,3.825558396
2026,170.1143326,4.4309904
2027,171.1225819,5.234212938
2028,172.1284191,5.837232862
2029,173.1342564,6.64527956
2030,174.1425057,7.245887404
2031,170.9199672,11.6768778
2032,167.6998408,16.30565874
2033,164.4773023,20.73664914
2034,161.2571759,25.16522746
2035,155.0171258,29.79400839
2036,148.7746635,34.42761349
2037,142.5346133,38.85377973
2038,136.4947658,43.28477013
2039,130.2547156,47.91355106
2040,124.0122534,52.54474408
2041,117.7722032,56.9733224
2042,111.532153,61.60210333
2043,105.4923055,66.03309373
2044,99.24984321,70.46167205
2045,93.00979304,75.09286507
2046,86.76974287,79.721646
2047,80.72989532,84.15022432
2048,74.48743306,88.58121472
2049,68.24738289,93.20999566
2050,62.00733272,97.84118867
