year;efficiency(gCO2/t-nm); source
1946.267586;37.44413243;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1949.102219;33.20166338;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1951.936852;29.06852527;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1954.771486;26.06514016;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1957.606119;24.70171908;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1960.440753;24.80890627;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1963.275386;25.58922903;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1966.110019;25.43487947;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1968.944653;24.80247504;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1971.779286;23.82492785;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1974.61392;22.57941269;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1977.448553;20.54714353;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1980.283186;18.96720433;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1983.11782;16.77201064;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1985.952453;14.70544158;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1988.787086;13.44277646;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1991.62172;12.56169775;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1994.206239;12.00616185;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
2008;11.08;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2012;7.9;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2013;7.59;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2014;7.18;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2015;7.2;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2016;7.21;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2017;7.03;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
2018;6.9;Table 63, Fourth IMO GHG Study 2020 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/Fourth%20IMO%20GHG%20Study%202020%20-%20Full%20report%20and%20annexes.pdf)
