year;efficiency(gCO2/t-nm); source
1906.304813;124.4201073;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1909.139446;131.7838673;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1911.974079;137.8399437;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1914.808713;141.0941468;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1917.643346;139.3298456;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1920.47798;134.1955792;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1923.312613;128.2981399;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1925.909042;125.2105363;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1928.98188;125.1832801;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1931.816513;125.6634787;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1934.651147;124.8016937;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1937.48578;121.1851978;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1940.320413;115.2191587;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1943.155047;108.1340854;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1945.96189;99.22288525;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1948.407456;87.18474365;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1950.714069;76.03209311;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
1953.354169;64.32882386;Figure 9.4, Second IMO GHG Study 2009 (https://wwwcdn.imo.org/localresources/en/OurWork/Environment/Documents/SecondIMOGHGStudy2009.pdf)
