Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1699713653,2023-11-11T14:40:53Z,AEA051,"40.461685,-3.570724",0,0,5
1699713809,2023-11-11T14:43:29Z,AEA051,"40.461483,-3.570728",0,1,5
1699713829,2023-11-11T14:43:49Z,AEA051,"40.461273,-3.570755",0,2,354
1699713848,2023-11-11T14:44:08Z,AEA051,"40.46104,-3.57076",0,0,326
1699713875,2023-11-11T14:44:35Z,AEA051,"40.460838,-3.570618",0,2,267
1699713899,2023-11-11T14:44:59Z,AEA051,"40.460808,-3.570416",0,1,230
1699714063,2023-11-11T14:47:43Z,AEA051,"40.460678,-3.570619",0,4,230
1699714072,2023-11-11T14:47:52Z,AEA051,"40.460529,-3.570822",0,6,230
1699714080,2023-11-11T14:48:00Z,AEA051,"40.460312,-3.570953",0,8,208
1699714085,2023-11-11T14:48:05Z,AEA051,"40.460098,-3.5709",0,9,174
1699714091,2023-11-11T14:48:11Z,AEA051,"40.459888,-3.570679",0,11,143
1699714097,2023-11-11T14:48:17Z,AEA051,"40.459679,-3.5704",0,12,137
1699714101,2023-11-11T14:48:21Z,AEA051,"40.45948,-3.570135",0,13,137
1699714106,2023-11-11T14:48:26Z,AEA051,"40.459282,-3.569901",0,14,137
1699714110,2023-11-11T14:48:30Z,AEA051,"40.459061,-3.569589",0,14,137
1699714114,2023-11-11T14:48:34Z,AEA051,"40.458904,-3.569382",0,13,135
1699714120,2023-11-11T14:48:40Z,AEA051,"40.458755,-3.569031",0,12,118
1699714124,2023-11-11T14:48:44Z,AEA051,"40.458767,-3.568756",0,12,92
1699714128,2023-11-11T14:48:48Z,AEA051,"40.458889,-3.568512",0,12,61
1699714132,2023-11-11T14:48:52Z,AEA051,"40.459072,-3.568278",0,12,47
1699714137,2023-11-11T14:48:57Z,AEA051,"40.45927,-3.568044",0,13,45
1699714142,2023-11-11T14:49:02Z,AEA051,"40.459526,-3.567795",0,13,36
1699714149,2023-11-11T14:49:09Z,AEA051,"40.459969,-3.567607",0,14,14
1699714154,2023-11-11T14:49:14Z,AEA051,"40.460262,-3.567592",0,14,5
1699714161,2023-11-11T14:49:21Z,AEA051,"40.460705,-3.567576",0,13,2
1699714164,2023-11-11T14:49:24Z,AEA051,"40.460907,-3.567581",0,13,359
1699714168,2023-11-11T14:49:28Z,AEA051,"40.461132,-3.567592",0,13,351
1699714171,2023-11-11T14:49:31Z,AEA051,"40.461342,-3.567592",0,13,356
1699714175,2023-11-11T14:49:35Z,AEA051,"40.461559,-3.567596",0,13,2
1699714181,2023-11-11T14:49:41Z,AEA051,"40.461914,-3.567592",0,11,2
1699714187,2023-11-11T14:49:47Z,AEA051,"40.462135,-3.567451",0,9,28
1699714191,2023-11-11T14:49:51Z,AEA051,"40.462189,-3.56723",0,9,59
1699714198,2023-11-11T14:49:58Z,AEA051,"40.4622,-3.566864",0,10,87
1699714201,2023-11-11T14:50:01Z,AEA051,"40.462215,-3.566624",0,11,90
1699714204,2023-11-11T14:50:04Z,AEA051,"40.462215,-3.566421",0,12,90
1699714208,2023-11-11T14:50:08Z,AEA051,"40.462215,-3.566156",0,13,90
1699714211,2023-11-11T14:50:11Z,AEA051,"40.462212,-3.565933",0,13,90
1699714213,2023-11-11T14:50:13Z,AEA051,"40.462212,-3.565704",0,13,92
1699714217,2023-11-11T14:50:17Z,AEA051,"40.462246,-3.56546",0,13,84
1699714221,2023-11-11T14:50:21Z,AEA051,"40.462402,-3.56522",0,13,53
1699714225,2023-11-11T14:50:25Z,AEA051,"40.462635,-3.565109",0,13,22
1699714229,2023-11-11T14:50:29Z,AEA051,"40.462879,-3.565095",0,14,8
1699714233,2023-11-11T14:50:33Z,AEA051,"40.463123,-3.565079",0,14,5
1699714236,2023-11-11T14:50:36Z,AEA051,"40.463356,-3.565048",0,15,5
1699714240,2023-11-11T14:50:40Z,AEA051,"40.463612,-3.565032",0,15,5
1699714247,2023-11-11T14:50:47Z,AEA051,"40.464207,-3.564986",0,18,2
1699714254,2023-11-11T14:50:54Z,AEA051,"40.464809,-3.564939",0,19,5
1699714261,2023-11-11T14:51:01Z,AEA051,"40.46545,-3.564876",0,19,5
1699714268,2023-11-11T14:51:08Z,AEA051,"40.466103,-3.564829",0,20,5
1699714275,2023-11-11T14:51:15Z,AEA051,"40.466766,-3.564783",0,20,5
1699714282,2023-11-11T14:51:22Z,AEA051,"40.467442,-3.564736",0,20,5
1699714289,2023-11-11T14:51:29Z,AEA051,"40.468151,-3.564673",0,20,5
1699714296,2023-11-11T14:51:36Z,AEA051,"40.468826,-3.564626",0,21,5
1699714303,2023-11-11T14:51:43Z,AEA051,"40.469524,-3.564564",0,21,5
1699714306,2023-11-11T14:51:46Z,AEA051,"40.469849,-3.564564",0,21,359
1699714309,2023-11-11T14:51:49Z,AEA051,"40.470154,-3.564595",0,21,357
1699714312,2023-11-11T14:51:52Z,AEA051,"40.47044,-3.564651",0,21,351
1699714315,2023-11-11T14:51:55Z,AEA051,"40.470734,-3.564751",0,21,348
1699714318,2023-11-11T14:51:58Z,AEA051,"40.470978,-3.564861",0,21,343
1699714321,2023-11-11T14:52:01Z,AEA051,"40.471294,-3.565017",0,21,337
1699714324,2023-11-11T14:52:04Z,AEA051,"40.471539,-3.565201",0,21,331
1699714327,2023-11-11T14:52:07Z,AEA051,"40.471779,-3.565384",0,20,329
1699714330,2023-11-11T14:52:10Z,AEA051,"40.472008,-3.565613",0,20,326
1699714333,2023-11-11T14:52:13Z,AEA051,"40.472271,-3.565857",0,20,323
1699714336,2023-11-11T14:52:16Z,AEA051,"40.472492,-3.566093",0,20,323
1699714339,2023-11-11T14:52:19Z,AEA051,"40.472706,-3.56633",0,20,323
1699714342,2023-11-11T14:52:22Z,AEA051,"40.472935,-3.566559",0,19,323
1699714349,2023-11-11T14:52:29Z,AEA051,"40.473423,-3.567045",0,18,323
1699714356,2023-11-11T14:52:36Z,AEA051,"40.473885,-3.567505",0,17,323
1699714362,2023-11-11T14:52:42Z,AEA051,"40.474274,-3.567902",0,17,323
1699714369,2023-11-11T14:52:49Z,AEA051,"40.47472,-3.568344",0,17,323
1699714376,2023-11-11T14:52:56Z,AEA051,"40.475182,-3.568825",0,16,323
1699714383,2023-11-11T14:53:03Z,AEA051,"40.475601,-3.569246",0,16,323
1699714391,2023-11-11T14:53:11Z,AEA051,"40.476025,-3.569672",0,15,323
1699714397,2023-11-11T14:53:17Z,AEA051,"40.476414,-3.570073",0,15,323
1699714404,2023-11-11T14:53:24Z,AEA051,"40.47681,-3.570463",0,15,323
1699714411,2023-11-11T14:53:31Z,AEA051,"40.477215,-3.570892",0,15,323
1699714419,2023-11-11T14:53:39Z,AEA051,"40.477673,-3.571352",0,17,323
1699714426,2023-11-11T14:53:46Z,AEA051,"40.478161,-3.571852",0,19,323
1699714433,2023-11-11T14:53:53Z,AEA051,"40.478657,-3.572357",0,18,323
1699714439,2023-11-11T14:53:59Z,AEA051,"40.479115,-3.572815",0,18,323
1699714447,2023-11-11T14:54:07Z,AEA051,"40.479626,-3.573334",0,20,323
1699714454,2023-11-11T14:54:14Z,AEA051,"40.480167,-3.573883",0,21,323
1699714461,2023-11-11T14:54:21Z,AEA051,"40.480728,-3.574448",0,22,323
1699714468,2023-11-11T14:54:28Z,AEA051,"40.481316,-3.575051",0,21,323
1699714475,2023-11-11T14:54:35Z,AEA051,"40.481838,-3.575597",0,20,323
1699714482,2023-11-11T14:54:42Z,AEA051,"40.482372,-3.576128",0,19,323
1699714489,2023-11-11T14:54:49Z,AEA051,"40.482849,-3.576612",0,18,323
1699714496,2023-11-11T14:54:56Z,AEA051,"40.483337,-3.577111",0,17,323
1699714503,2023-11-11T14:55:03Z,AEA051,"40.483749,-3.57753",0,15,323
1699714510,2023-11-11T14:55:10Z,AEA051,"40.484131,-3.577876",0,13,326
1699714515,2023-11-11T14:55:15Z,AEA051,"40.484379,-3.578079",0,13,329
1699714519,2023-11-11T14:55:19Z,AEA051,"40.484608,-3.578247",0,13,331
1699714524,2023-11-11T14:55:24Z,AEA051,"40.484863,-3.578438",0,13,331
1699714531,2023-11-11T14:55:31Z,AEA051,"40.485214,-3.57869",0,12,331
1699714538,2023-11-11T14:55:38Z,AEA051,"40.48555,-3.578937",0,11,331
1699714545,2023-11-11T14:55:45Z,AEA051,"40.485844,-3.579132",0,10,334
1699714550,2023-11-11T14:55:50Z,AEA051,"40.48605,-3.579218",0,9,343
1699714555,2023-11-11T14:55:55Z,AEA051,"40.486256,-3.579285",0,9,348
1699714560,2023-11-11T14:56:00Z,AEA051,"40.486462,-3.5793",0,9,354
1699714565,2023-11-11T14:56:05Z,AEA051,"40.486668,-3.579315",0,8,357
1699714571,2023-11-11T14:56:11Z,AEA051,"40.486877,-3.579311",0,7,4
1699714577,2023-11-11T14:56:17Z,AEA051,"40.487103,-3.579315",0,8,2
1699714583,2023-11-11T14:56:23Z,AEA051,"40.487309,-3.579315",0,8,2
1699714589,2023-11-11T14:56:29Z,AEA051,"40.487537,-3.579178",0,8,25
1699714594,2023-11-11T14:56:34Z,AEA051,"40.48764,-3.578949",0,8,53
1699714599,2023-11-11T14:56:39Z,AEA051,"40.487667,-3.578703",0,9,75
1699714603,2023-11-11T14:56:43Z,AEA051,"40.487679,-3.578469",0,9,87
1699714607,2023-11-11T14:56:47Z,AEA051,"40.48769,-3.578235",0,10,90
1699714611,2023-11-11T14:56:51Z,AEA051,"40.487698,-3.577972",0,11,90
1699714615,2023-11-11T14:56:55Z,AEA051,"40.487698,-3.577759",0,11,90
1699714618,2023-11-11T14:56:58Z,AEA051,"40.48769,-3.577548",0,10,92
1699714621,2023-11-11T14:57:01Z,AEA051,"40.48769,-3.577329",0,10,92
1699714628,2023-11-11T14:57:08Z,AEA051,"40.487701,-3.576861",0,11,90
1699714635,2023-11-11T14:57:15Z,AEA051,"40.487701,-3.576378",0,12,90
1699714643,2023-11-11T14:57:23Z,AEA051,"40.487701,-3.575847",0,12,92
1699714649,2023-11-11T14:57:29Z,AEA051,"40.48769,-3.575363",0,12,92
1699714657,2023-11-11T14:57:37Z,AEA051,"40.487701,-3.574801",0,11,92
1699714665,2023-11-11T14:57:45Z,AEA051,"40.487709,-3.574234",0,13,90
1699714672,2023-11-11T14:57:52Z,AEA051,"40.487675,-3.57373",0,11,104
1699714677,2023-11-11T14:57:57Z,AEA051,"40.487484,-3.573506",0,12,140
1699714680,2023-11-11T14:58:00Z,AEA051,"40.487263,-3.573456",0,12,168
1699714685,2023-11-11T14:58:05Z,AEA051,"40.487045,-3.573456",0,11,177
1699714689,2023-11-11T14:58:09Z,AEA051,"40.486839,-3.573441",0,11,180
1699714694,2023-11-11T14:58:14Z,AEA051,"40.48661,-3.573459",0,10,188
