Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1676154493,2023-02-11T22:28:13Z,FIN99,"60.314487,24.956377",0,0,137
1676154554,2023-02-11T22:29:14Z,FIN99,"60.314644,24.956108",0,2,135
1676154582,2023-02-11T22:29:42Z,FIN99,"60.314838,24.955862",0,2,118
1676154601,2023-02-11T22:30:01Z,FIN99,"60.314964,24.955633",0,2,95
1676154615,2023-02-11T22:30:15Z,FIN99,"60.315033,24.95542",0,2,78
1676154629,2023-02-11T22:30:29Z,FIN99,"60.315056,24.955208",0,2,64
1676154640,2023-02-11T22:30:40Z,FIN99,"60.315022,24.955004",0,2,61
1676154659,2023-02-11T22:30:59Z,FIN99,"60.314941,24.954733",0,1,64
1676154672,2023-02-11T22:31:12Z,FIN99,"60.314919,24.954512",0,1,56
1676154865,2023-02-11T22:34:25Z,FIN99,"60.315067,24.954735",0,4,47
1676154875,2023-02-11T22:34:35Z,FIN99,"60.315205,24.955042",0,5,47
1676154884,2023-02-11T22:34:44Z,FIN99,"60.315361,24.955395",0,6,47
1676154890,2023-02-11T22:34:50Z,FIN99,"60.315475,24.955666",0,6,47
1676154896,2023-02-11T22:34:56Z,FIN99,"60.315594,24.955917",0,7,47
1676154901,2023-02-11T22:35:01Z,FIN99,"60.315697,24.956156",0,7,47
1676154907,2023-02-11T22:35:07Z,FIN99,"60.315826,24.956425",0,7,47
1676154914,2023-02-11T22:35:14Z,FIN99,"60.315971,24.956747",0,7,47
1676154921,2023-02-11T22:35:21Z,FIN99,"60.316196,24.956892",0,8,25
1676154927,2023-02-11T22:35:27Z,FIN99,"60.316406,24.956722",0,7,351
1676154932,2023-02-11T22:35:32Z,FIN99,"60.316513,24.956474",0,7,331
1676154937,2023-02-11T22:35:37Z,FIN99,"60.316616,24.956205",0,7,320
1676154943,2023-02-11T22:35:43Z,FIN99,"60.316761,24.955894",0,8,317
1676154947,2023-02-11T22:35:47Z,FIN99,"60.316883,24.95569",0,9,317
1676154951,2023-02-11T22:35:51Z,FIN99,"60.317013,24.955469",0,9,317
1676154957,2023-02-11T22:35:57Z,FIN99,"60.317257,24.955322",0,10,340
1676154962,2023-02-11T22:36:02Z,FIN99,"60.31749,24.955566",0,11,14
1676154965,2023-02-11T22:36:05Z,FIN99,"60.317585,24.955776",0,10,30
1676154969,2023-02-11T22:36:09Z,FIN99,"60.317677,24.956009",0,11,39
1676154971,2023-02-11T22:36:11Z,FIN99,"60.31778,24.956226",0,11,45
1676154975,2023-02-11T22:36:15Z,FIN99,"60.317886,24.956499",0,12,47
1676154978,2023-02-11T22:36:18Z,FIN99,"60.318001,24.956768",0,13,47
1676154980,2023-02-11T22:36:20Z,FIN99,"60.318111,24.957006",0,13,47
1676154983,2023-02-11T22:36:23Z,FIN99,"60.318214,24.957243",0,14,47
1676154986,2023-02-11T22:36:26Z,FIN99,"60.318352,24.957552",0,14,47
1676154992,2023-02-11T22:36:32Z,FIN99,"60.318661,24.958214",0,15,47
1676154997,2023-02-11T22:36:37Z,FIN99,"60.31892,24.958803",0,15,47
1676155003,2023-02-11T22:36:43Z,FIN99,"60.319202,24.959393",0,14,47
1676155007,2023-02-11T22:36:47Z,FIN99,"60.319359,24.959682",0,11,42
1676155012,2023-02-11T22:36:52Z,FIN99,"60.319599,24.959705",0,10,14
1676155016,2023-02-11T22:36:56Z,FIN99,"60.319759,24.959467",0,10,343
1676155020,2023-02-11T22:37:00Z,FIN99,"60.319897,24.959209",0,10,326
1676155025,2023-02-11T22:37:05Z,FIN99,"60.320038,24.958902",0,10,317
1676155029,2023-02-11T22:37:09Z,FIN99,"60.320194,24.958616",0,11,317
1676155032,2023-02-11T22:37:12Z,FIN99,"60.320305,24.958412",0,11,317
1676155036,2023-02-11T22:37:16Z,FIN99,"60.320435,24.958143",0,11,317
1676155042,2023-02-11T22:37:22Z,FIN99,"60.320667,24.957701",0,11,317
1676155048,2023-02-11T22:37:28Z,FIN99,"60.320923,24.957235",0,12,317
1676155054,2023-02-11T22:37:34Z,FIN99,"60.321167,24.956793",0,13,317
1676155060,2023-02-11T22:37:40Z,FIN99,"60.321457,24.956253",0,14,317
1676155069,2023-02-11T22:37:49Z,FIN99,"60.321911,24.95542",0,15,317
1676155075,2023-02-11T22:37:55Z,FIN99,"60.322216,24.954855",0,15,317
1676155081,2023-02-11T22:38:01Z,FIN99,"60.32254,24.95426",0,15,317
1676155087,2023-02-11T22:38:07Z,FIN99,"60.32288,24.95363",0,16,317
1676155094,2023-02-11T22:38:14Z,FIN99,"60.323215,24.95303",0,15,317
1676155097,2023-02-11T22:38:17Z,FIN99,"60.323399,24.952768",0,15,323
1676155101,2023-02-11T22:38:21Z,FIN99,"60.323658,24.952526",0,15,334
1676155105,2023-02-11T22:38:25Z,FIN99,"60.323925,24.952366",0,15,340
1676155109,2023-02-11T22:38:29Z,FIN99,"60.324203,24.952208",0,15,343
1676155113,2023-02-11T22:38:33Z,FIN99,"60.324463,24.952061",0,15,343
1676155117,2023-02-11T22:38:37Z,FIN99,"60.324738,24.95187",0,15,343
1676155124,2023-02-11T22:38:44Z,FIN99,"60.325184,24.951586",0,16,343
1676155129,2023-02-11T22:38:49Z,FIN99,"60.325596,24.951324",0,16,340
1676155136,2023-02-11T22:38:56Z,FIN99,"60.32608,24.950981",0,16,340
1676155142,2023-02-11T22:39:02Z,FIN99,"60.326485,24.950712",0,15,343
1676155148,2023-02-11T22:39:08Z,FIN99,"60.326881,24.950466",0,13,343
1676155152,2023-02-11T22:39:12Z,FIN99,"60.327103,24.950417",0,12,351
1676155157,2023-02-11T22:39:17Z,FIN99,"60.327335,24.950661",0,12,19
1676155160,2023-02-11T22:39:20Z,FIN99,"60.327461,24.95097",0,13,36
1676155162,2023-02-11T22:39:22Z,FIN99,"60.327553,24.951183",0,13,42
1676155165,2023-02-11T22:39:25Z,FIN99,"60.327667,24.951443",0,13,47
1676155169,2023-02-11T22:39:29Z,FIN99,"60.327782,24.951727",0,12,47
1676155171,2023-02-11T22:39:31Z,FIN99,"60.327885,24.951937",0,11,47
1676155175,2023-02-11T22:39:35Z,FIN99,"60.327988,24.952177",0,10,47
1676155181,2023-02-11T22:39:41Z,FIN99,"60.32822,24.95228",0,10,19
1676155185,2023-02-11T22:39:45Z,FIN99,"60.328411,24.952034",0,10,345
1676155189,2023-02-11T22:39:49Z,FIN99,"60.328522,24.95179",0,10,329
1676155193,2023-02-11T22:39:53Z,FIN99,"60.328651,24.951538",0,10,323
1676155197,2023-02-11T22:39:57Z,FIN99,"60.328777,24.9513",0,9,320
1676155208,2023-02-11T22:40:08Z,FIN99,"60.328926,24.951088",0,1,323
1676156006,2023-02-11T22:53:26Z,FIN99,"60.329071,24.950859",0,5,323
1676156014,2023-02-11T22:53:34Z,FIN99,"60.329235,24.950615",0,7,323
1676156020,2023-02-11T22:53:40Z,FIN99,"60.329453,24.950466",0,8,337
1676156027,2023-02-11T22:53:47Z,FIN99,"60.329697,24.950588",0,8,2
1676156033,2023-02-11T22:53:53Z,FIN99,"60.329945,24.950588",0,9,357
1676156037,2023-02-11T22:53:57Z,FIN99,"60.330082,24.950377",0,10,337
1676156040,2023-02-11T22:54:00Z,FIN99,"60.330128,24.950123",0,10,317
1676156043,2023-02-11T22:54:03Z,FIN99,"60.330151,24.949854",0,10,298
1676156046,2023-02-11T22:54:06Z,FIN99,"60.330116,24.949583",0,10,281
1676156049,2023-02-11T22:54:09Z,FIN99,"60.330036,24.949312",0,10,258
1676156053,2023-02-11T22:54:13Z,FIN99,"60.32991,24.949076",0,9,239
