Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1682886715,2023-04-30T20:31:55Z,BAW57K,"51.471428,-0.475289",0,0,270
1682886939,2023-04-30T20:35:39Z,BAW57K,"51.471439,-0.475084",0,2,270
1682886952,2023-04-30T20:35:52Z,BAW57K,"51.471447,-0.474873",0,2,272
1682886963,2023-04-30T20:36:03Z,BAW57K,"51.471458,-0.474663",0,2,278
1682886977,2023-04-30T20:36:17Z,BAW57K,"51.471481,-0.474396",0,3,289
1682886989,2023-04-30T20:36:29Z,BAW57K,"51.471516,-0.474167",0,2,306
1682887001,2023-04-30T20:36:41Z,BAW57K,"51.471504,-0.473957",0,2,326
1682887015,2023-04-30T20:36:55Z,BAW57K,"51.47139,-0.473747",0,3,340
1682887034,2023-04-30T20:37:14Z,BAW57K,"51.47118,-0.473557",0,3,354
1682887049,2023-04-30T20:37:29Z,BAW57K,"51.47097,-0.473499",0,3,357
1682887063,2023-04-30T20:37:43Z,BAW57K,"51.470764,-0.473507",0,3,180
1682887300,2023-04-30T20:41:40Z,BAW57K,"51.47097,-0.473499",0,5,19
1682887309,2023-04-30T20:41:49Z,BAW57K,"51.471214,-0.473499",0,7,9
1682887315,2023-04-30T20:41:55Z,BAW57K,"51.471436,-0.473499",0,8,6
1682887320,2023-04-30T20:42:00Z,BAW57K,"51.471645,-0.473507",0,9,27
1682887328,2023-04-30T20:42:08Z,BAW57K,"51.472,-0.473507",0,10,1
1682887334,2023-04-30T20:42:14Z,BAW57K,"51.472275,-0.473507",0,10,8
1682887341,2023-04-30T20:42:21Z,BAW57K,"51.472645,-0.473518",0,10,352
1682887347,2023-04-30T20:42:27Z,BAW57K,"51.472893,-0.473507",0,10,4
1682887351,2023-04-30T20:42:31Z,BAW57K,"51.473133,-0.473507",0,11,19
1682887357,2023-04-30T20:42:37Z,BAW57K,"51.473381,-0.473518",0,11,353
1682887361,2023-04-30T20:42:41Z,BAW57K,"51.473591,-0.473518",0,11,7
1682887366,2023-04-30T20:42:46Z,BAW57K,"51.473835,-0.473518",0,11,9
1682887371,2023-04-30T20:42:51Z,BAW57K,"51.474106,-0.473526",0,11,357
1682887378,2023-04-30T20:42:58Z,BAW57K,"51.474415,-0.473526",0,8,8
1682887385,2023-04-30T20:43:05Z,BAW57K,"51.474621,-0.473526",0,6,28
1682887394,2023-04-30T20:43:14Z,BAW57K,"51.474834,-0.473309",0,6,22
1682887400,2023-04-30T20:43:20Z,BAW57K,"51.474907,-0.47308",0,5,39
1682887408,2023-04-30T20:43:28Z,BAW57K,"51.474926,-0.47287",0,3,56
1682887419,2023-04-30T20:43:39Z,BAW57K,"51.474926,-0.47266",0,3,67
1682887428,2023-04-30T20:43:48Z,BAW57K,"51.474915,-0.472431",0,4,78
1682887435,2023-04-30T20:43:55Z,BAW57K,"51.474892,-0.472221",0,5,87
1682887442,2023-04-30T20:44:02Z,BAW57K,"51.474892,-0.471954",0,6,90
1682887448,2023-04-30T20:44:08Z,BAW57K,"51.474892,-0.471668",0,7,90
1682887452,2023-04-30T20:44:12Z,BAW57K,"51.474895,-0.471447",0,8,90
1682887456,2023-04-30T20:44:16Z,BAW57K,"51.474895,-0.471243",0,9,90
1682887461,2023-04-30T20:44:21Z,BAW57K,"51.474892,-0.470829",0,10,90
1682887467,2023-04-30T20:44:27Z,BAW57K,"51.474903,-0.470314",0,12,90
1682887474,2023-04-30T20:44:34Z,BAW57K,"51.474903,-0.469742",0,13,90
1682887480,2023-04-30T20:44:40Z,BAW57K,"51.474915,-0.469131",0,13,90
1682887486,2023-04-30T20:44:46Z,BAW57K,"51.474918,-0.468552",0,13,90
1682887492,2023-04-30T20:44:52Z,BAW57K,"51.47493,-0.468032",0,11,90
1682887497,2023-04-30T20:44:57Z,BAW57K,"51.474964,-0.467644",0,10,84
1682887501,2023-04-30T20:45:01Z,BAW57K,"51.475021,-0.467401",0,9,75
1682887505,2023-04-30T20:45:05Z,BAW57K,"51.475101,-0.467148",0,9,70
1682887509,2023-04-30T20:45:09Z,BAW57K,"51.475136,-0.4669",0,9,73
1682887514,2023-04-30T20:45:14Z,BAW57K,"51.475159,-0.466529",0,9,81
1682887525,2023-04-30T20:45:25Z,BAW57K,"51.475147,-0.465898",0,7,90
1682887530,2023-04-30T20:45:30Z,BAW57K,"51.475147,-0.46562",0,8,90
1682887534,2023-04-30T20:45:34Z,BAW57K,"51.475147,-0.465412",0,8,90
1682887538,2023-04-30T20:45:38Z,BAW57K,"51.475147,-0.465164",0,8,90
1682887541,2023-04-30T20:45:41Z,BAW57K,"51.475147,-0.464935",0,9,90
1682887546,2023-04-30T20:45:46Z,BAW57K,"51.475147,-0.464599",0,10,90
