year,lower_bar_position,bar_value
2018,181.1881905,0
2019,183.4024796,0
2020,106.4981427,0.402817309
2021,112.1351729,0.805634618
2022,127.0321771,1.208451927
2023,150.9889527,1.813883931
2024,165.888369,2.011674466
2025,166.4913889,2.617106469
2026,167.0944088,3.019923778
2027,167.6998408,3.422741087
2028,168.3028607,3.825558396
2029,168.9082927,4.225963626
2030,169.5113127,4.631193015
2031,164.679917,6.240050171
2032,160.048724,7.651116793
2033,155.2173284,9.25997395
2034,150.3859328,10.87124319
2035,142.734816,12.28230981
2036,134.8834966,13.89116696
2037,127.2347918,15.29982151
2038,119.583675,16.91109074
2039,111.7323556,18.52235998
2040,104.0836509,19.92860244
2041,96.43253413,21.33966906
2042,88.58121472,22.9509383
2043,80.93009793,24.56220754
2044,73.07877852,26.17106469
2045,65.42766173,27.58213131
2046,57.77895702,28.99078586
2047,49.92763761,30.80225771
2048,42.27652082,32.21091225
2049,34.6278161,33.61956679
2050,26.7764967,35.23083603
