Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1683158306,2023-05-03T23:58:26Z,QFA63,"-33.936291,151.170166",0,0,154
1683158907,2023-05-04T00:08:27Z,QFA63,"-33.936047,151.17009",0,3,151
1683158922,2023-05-04T00:08:42Z,QFA63,"-33.935841,151.170044",0,3,143
1683158940,2023-05-04T00:09:00Z,QFA63,"-33.935589,151.169922",0,3,129
1683158955,2023-05-04T00:09:15Z,QFA63,"-33.935371,151.169724",0,4,120
1683158971,2023-05-04T00:09:31Z,QFA63,"-33.935219,151.16951",0,3,126
1683158988,2023-05-04T00:09:48Z,QFA63,"-33.935028,151.169296",0,3,137
1683159007,2023-05-04T00:10:07Z,QFA63,"-33.934826,151.169128",0,3,154
1683159020,2023-05-04T00:10:20Z,QFA63,"-33.935177,151.169479",0,3,160
1683159265,2023-05-04T00:14:25Z,QFA63,"-33.935062,151.170242",0,0,67
1683159273,2023-05-04T00:14:33Z,QFA63,"-33.935009,151.170563",0,0,64
1683159285,2023-05-04T00:14:45Z,QFA63,"-33.934589,151.170914",0,11,5
1683159305,2023-05-04T00:15:05Z,QFA63,"-33.933609,151.170654",0,0,331
1683159313,2023-05-04T00:15:13Z,QFA63,"-33.933231,151.17041",0,11,317
1683159335,2023-05-04T00:15:35Z,QFA63,"-33.932392,151.169601",0,0,323
1683159342,2023-05-04T00:15:42Z,QFA63,"-33.932018,151.16951",0,13,334
1683159348,2023-05-04T00:15:48Z,QFA63,"-33.931671,151.169418",0,12,334
1683159354,2023-05-04T00:15:54Z,QFA63,"-33.931332,151.169327",0,10,334
1683159364,2023-05-04T00:16:04Z,QFA63,"-33.930931,151.16922",0,6,334
1683159413,2023-05-04T00:16:53Z,QFA63,"-33.930706,151.169159",0,0,334
1683159433,2023-05-04T00:17:13Z,QFA63,"-33.929958,151.169296",0,0,16
1683159573,2023-05-04T00:19:33Z,QFA63,"-33.93021,151.171799",0,0,154
1683159586,2023-05-04T00:19:46Z,QFA63,"-33.931145,151.172058",0,0,154
1683159615,2023-05-04T00:20:15Z,QFA63,"-33.942627,151.175064",0,146,168
1683159621,2023-05-04T00:20:21Z,QFA63,"-33.948452,151.176575",0,167,167
1683159627,2023-05-04T00:20:27Z,QFA63,"-33.952881,151.177704",0,184,167
1683159633,2023-05-04T00:20:33Z,QFA63,"-33.958374,151.179169",0,192,167
1683159639,2023-05-04T00:20:39Z,QFA63,"-33.963409,151.180557",125,194,166
1683159645,2023-05-04T00:20:45Z,QFA63,"-33.968719,151.182022",325,196,167
1683159653,2023-05-04T00:20:53Z,QFA63,"-33.976044,151.183807",675,196,169
1683159657,2023-05-04T00:20:57Z,QFA63,"-33.979111,151.184326",850,194,172
1683159659,2023-05-04T00:20:59Z,QFA63,"-33.980293,151.184464",950,193,174
1683159662,2023-05-04T00:21:02Z,QFA63,"-33.982498,151.184662",1100,193,176
1683159665,2023-05-04T00:21:05Z,QFA63,"-33.986664,151.184875",1225,193,178
1683159668,2023-05-04T00:21:08Z,QFA63,"-33.989277,151.18486",1325,195,180
1683159671,2023-05-04T00:21:11Z,QFA63,"-33.992065,151.184769",1400,196,182
1683159674,2023-05-04T00:21:14Z,QFA63,"-33.994812,151.184494",1475,199,185
1683159677,2023-05-04T00:21:17Z,QFA63,"-33.997604,151.184036",1525,202,188
1683159680,2023-05-04T00:21:20Z,QFA63,"-34.000031,151.183472",1600,205,191
1683159683,2023-05-04T00:21:23Z,QFA63,"-34.003338,151.182571",1625,208,193
1683159686,2023-05-04T00:21:26Z,QFA63,"-34.006176,151.181717",1675,212,193
1683159689,2023-05-04T00:21:29Z,QFA63,"-34.009232,151.180893",1700,217,192
1683159692,2023-05-04T00:21:32Z,QFA63,"-34.011841,151.180283",1750,220,190
1683159695,2023-05-04T00:21:35Z,QFA63,"-34.015022,151.179718",1800,224,188
1683159698,2023-05-04T00:21:38Z,QFA63,"-34.018143,151.179199",1875,227,186
1683159705,2023-05-04T00:21:45Z,QFA63,"-34.024101,151.178741",2075,232,180
1683159709,2023-05-04T00:21:49Z,QFA63,"-34.029419,151.178772",2175,235,178
1683159713,2023-05-04T00:21:53Z,QFA63,"-34.034107,151.179138",2300,237,176
1683159717,2023-05-04T00:21:57Z,QFA63,"-34.038666,151.179779",2400,241,171
1683159721,2023-05-04T00:22:01Z,QFA63,"-34.042999,151.180801",2525,245,167
1683159724,2023-05-04T00:22:04Z,QFA63,"-34.046352,151.181778",2625,247,165
1683159727,2023-05-04T00:22:07Z,QFA63,"-34.049332,151.182755",2700,250,164
1683159730,2023-05-04T00:22:10Z,QFA63,"-34.053177,151.184036",2800,252,164
1683159733,2023-05-04T00:22:13Z,QFA63,"-34.056454,151.185089",2900,253,164
1683159736,2023-05-04T00:22:16Z,QFA63,"-34.059998,151.186279",3025,254,164
1683159739,2023-05-04T00:22:19Z,QFA63,"-34.063202,151.187286",3175,256,165
1683159742,2023-05-04T00:22:22Z,QFA63,"-34.066742,151.188416",3300,256,165
1683159745,2023-05-04T00:22:25Z,QFA63,"-34.070114,151.189468",3400,258,165
1683159751,2023-05-04T00:22:31Z,QFA63,"-34.077621,151.191879",3525,266,164
1683159757,2023-05-04T00:22:37Z,QFA63,"-34.0849,151.194122",3625,272,166
1683159760,2023-05-04T00:22:40Z,QFA63,"-34.088654,151.195023",3675,276,169
1683159763,2023-05-04T00:22:43Z,QFA63,"-34.092113,151.195511",3725,279,174
1683159766,2023-05-04T00:22:46Z,QFA63,"-34.096302,151.195679",3775,283,179
1683159769,2023-05-04T00:22:49Z,QFA63,"-34.100143,151.195358",3850,286,184
1683159772,2023-05-04T00:22:52Z,QFA63,"-34.104218,151.194641",3925,288,189
1683159775,2023-05-04T00:22:55Z,QFA63,"-34.107895,151.193558",4000,290,195
1683159778,2023-05-04T00:22:58Z,QFA63,"-34.111477,151.192078",4100,291,200
1683159781,2023-05-04T00:23:01Z,QFA63,"-34.115067,151.190155",4200,293,206
1683159785,2023-05-04T00:23:05Z,QFA63,"-34.119858,151.186646",4350,296,214
1683159789,2023-05-04T00:23:09Z,QFA63,"-34.12479,151.181824",4525,297,218
1683159793,2023-05-04T00:23:13Z,QFA63,"-34.127819,151.178406",4675,299,224
1683159797,2023-05-04T00:23:17Z,QFA63,"-34.132004,151.173218",4850,300,225
1683159800,2023-05-04T00:23:20Z,QFA63,"-34.135895,151.168396",5025,301,226
1683159803,2023-05-04T00:23:23Z,QFA63,"-34.138477,151.165131",5125,301,226
1683159806,2023-05-04T00:23:26Z,QFA63,"-34.141411,151.161469",5225,304,226
1683159809,2023-05-04T00:23:29Z,QFA63,"-34.142487,151.16011",5300,304,226
1683159813,2023-05-04T00:23:33Z,QFA63,"-34.147881,151.153168",5350,304,226
1683159816,2023-05-04T00:23:36Z,QFA63,"-34.151001,151.149109",5400,314,227
1683159828,2023-05-04T00:23:48Z,QFA63,"-34.163223,151.133087",5600,327,227
1683159839,2023-05-04T00:23:59Z,QFA63,"-34.174393,151.118286",5900,334,227
1683159851,2023-05-04T00:24:11Z,QFA63,"-34.187546,151.100922",6350,339,227
1683159863,2023-05-04T00:24:23Z,QFA63,"-34.200165,151.084152",6825,341,227
1683159875,2023-05-04T00:24:35Z,QFA63,"-34.21273,151.067627",7275,343,227
1683159887,2023-05-04T00:24:47Z,QFA63,"-34.226414,151.04982",7775,346,227
1683159900,2023-05-04T00:25:00Z,QFA63,"-34.239868,151.032486",8250,348,226
1683159912,2023-05-04T00:25:12Z,QFA63,"-34.252396,151.016388",8775,349,226
1683159924,2023-05-04T00:25:24Z,QFA63,"-34.266724,150.997894",9350,348,227
1683159936,2023-05-04T00:25:36Z,QFA63,"-34.28009,150.98056",9975,345,227
1683159948,2023-05-04T00:25:48Z,QFA63,"-34.293312,150.963593",10525,344,226
1683159960,2023-05-04T00:26:00Z,QFA63,"-34.306484,150.946655",11025,346,226
1683159973,2023-05-04T00:26:13Z,QFA63,"-34.320034,150.929092",11525,346,227
1683159985,2023-05-04T00:26:25Z,QFA63,"-34.332779,150.91246",12025,346,227
1683160015,2023-05-04T00:26:55Z,QFA63,"-34.365829,150.869308",13100,351,227
1683160048,2023-05-04T00:27:28Z,QFA63,"-34.403503,150.820251",14050,360,227
1683160081,2023-05-04T00:28:01Z,QFA63,"-34.441818,150.770203",15075,367,227
1683160112,2023-05-04T00:28:32Z,QFA63,"-34.476791,150.724121",16000,372,227
1683160146,2023-05-04T00:29:06Z,QFA63,"-34.516155,150.672394",17000,375,227
1683160176,2023-05-04T00:29:36Z,QFA63,"-34.552231,150.625305",18175,373,226
