YEAR,RESULT
2023,505
2022,728
2021,630
2020,577
2019,704
2018,809
2017,832
2016,759
2015,686
2014,381
2013,274
2012,321
2011,304
2010,283
2009,275
2008,287
2007,208
2006,224
2005,214
2004,238
2003,270
2002,220
2001,181
2000,234
1999,257
1998,244
1997,268
1996,270
1995,251
1994,183
1993,142
1992,171
1991,153
1990,185
1989,144
1988,94
1987,148
1986,140
1985,167
1984,145
1983,74
1982,81
1981,80
1980,121
1979,64
1978,90
1977,97
1976,96
1975,116
1974,93
1973,99
1972,71
1971,89
1970,80
1969,73
1968,71
1967,52
1966,39
1965,47
1964,57
1963,35
1962,22
1961,17
1960,5
1959,1
1958,6
1957,13
1956,8
1955,4
1954,3
1953,6
1952,2
1950,2
1949,2
1948,1
