YEAR,RESULT
2023,491
2022,717
2021,611
2020,564
2019,684
2018,774
2017,808
2016,732
2015,664
2014,367
2013,265
2012,313
2011,288
2010,262
2009,266
2008,285
2007,203
2006,212
2005,210
2004,232
2003,267
2002,216
2001,175
2000,230
1999,252
1998,243
1997,268
1996,268
1995,246
1994,180
1993,142
1992,171
1991,152
1990,185
1989,142
1988,94
1987,147
1986,137
1985,167
1984,145
1983,73
1982,80
1981,80
1980,118
1979,63
1978,82
1977,93
1976,86
1975,106
1974,84
1973,87
1972,68
1971,88
1970,77
1969,68
1968,67
1967,50
1966,39
1965,47
1964,56
1963,33
1962,19
1961,16
1960,4
1959,1
1958,5
1957,10
1956,7
1955,4
1954,3
1953,2
1952,1
1950,2
1949,2
