Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1689858194,2023-07-20T13:03:14Z,AFR368V,"45.684319,-74.001915",400,147,45
1689858204,2023-07-20T13:03:24Z,AFR368V,"45.688507,-73.995872",750,144,45
1689858213,2023-07-20T13:03:33Z,AFR368V,"45.692596,-73.989975",1100,145,45
1689858222,2023-07-20T13:03:42Z,AFR368V,"45.697075,-73.983582",1400,147,44
1689858231,2023-07-20T13:03:51Z,AFR368V,"45.701569,-73.977379",1700,149,43
1689858240,2023-07-20T13:04:00Z,AFR368V,"45.706284,-73.970879",2000,154,44
1689858249,2023-07-20T13:04:09Z,AFR368V,"45.710991,-73.964287",2325,158,44
1689858258,2023-07-20T13:04:18Z,AFR368V,"45.715851,-73.95755",2625,168,44
1689858264,2023-07-20T13:04:24Z,AFR368V,"45.719326,-73.952614",2800,176,45
1689858273,2023-07-20T13:04:33Z,AFR368V,"45.724594,-73.944885",3075,188,45
1689858283,2023-07-20T13:04:43Z,AFR368V,"45.730179,-73.936646",3325,200,46
1689858291,2023-07-20T13:04:51Z,AFR368V,"45.73613,-73.92762",3675,208,46
1689858300,2023-07-20T13:05:00Z,AFR368V,"45.742088,-73.917526",3975,221,52
1689858303,2023-07-20T13:05:03Z,AFR368V,"45.744003,-73.913803",4100,226,54
1689858306,2023-07-20T13:05:06Z,AFR368V,"45.745422,-73.910789",4175,230,55
1689858309,2023-07-20T13:05:09Z,AFR368V,"45.747627,-73.905991",4325,234,56
1689858312,2023-07-20T13:05:12Z,AFR368V,"45.749165,-73.902557",4400,237,57
1689858316,2023-07-20T13:05:16Z,AFR368V,"45.75098,-73.898506",4525,241,57
1689858318,2023-07-20T13:05:18Z,AFR368V,"45.75275,-73.894386",4650,243,57
1689858322,2023-07-20T13:05:22Z,AFR368V,"45.754898,-73.889557",4800,248,58
1689858325,2023-07-20T13:05:25Z,AFR368V,"45.7565,-73.885872",4900,251,58
1689858328,2023-07-20T13:05:28Z,AFR368V,"45.758568,-73.881134",5000,256,57
1689858343,2023-07-20T13:05:43Z,AFR368V,"45.768764,-73.858131",5625,272,57
1689858358,2023-07-20T13:05:58Z,AFR368V,"45.778839,-73.835358",6425,280,57
1689858373,2023-07-20T13:06:13Z,AFR368V,"45.789505,-73.811241",7200,287,57
1689858388,2023-07-20T13:06:28Z,AFR368V,"45.800262,-73.786926",8025,292,57
1689858400,2023-07-20T13:06:40Z,AFR368V,"45.809357,-73.766464",8725,293,57
1689858416,2023-07-20T13:06:56Z,AFR368V,"45.820496,-73.741241",9600,295,57
1689858431,2023-07-20T13:07:11Z,AFR368V,"45.831665,-73.715851",10375,302,57
1689858446,2023-07-20T13:07:26Z,AFR368V,"45.843014,-73.690178",10800,320,57
1689858461,2023-07-20T13:07:41Z,AFR368V,"45.855583,-73.661613",11225,338,57
1689858476,2023-07-20T13:07:56Z,AFR368V,"45.868378,-73.632515",11575,355,57
