Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1684418247,2023-05-18T13:57:27Z,PAL102,"14.503792,121.00386",0,0,50
1684418308,2023-05-18T13:58:28Z,PAL102,"14.503617,121.003647",0,0,53
1684418345,2023-05-18T13:59:05Z,PAL102,"14.503407,121.003441",0,1,78
1684418374,2023-05-18T13:59:34Z,PAL102,"14.503304,121.003227",0,2,104
1684418403,2023-05-18T14:00:03Z,PAL102,"14.50328,121.003006",0,1,132
1684418436,2023-05-18T14:00:36Z,PAL102,"14.503372,121.0028",0,1,165
1684418513,2023-05-18T14:01:53Z,PAL102,"14.503163,121.002815",0,1,177
1684418537,2023-05-18T14:02:17Z,PAL102,"14.50296,121.002792",0,1,182
1684418565,2023-05-18T14:02:45Z,PAL102,"14.502745,121.0028",0,1,180
1684418599,2023-05-18T14:03:19Z,PAL102,"14.502537,121.002838",0,1,171
1684418900,2023-05-18T14:08:20Z,PAL102,"14.502291,121.002975",0,3,157
1684418913,2023-05-18T14:08:33Z,PAL102,"14.502128,121.003189",0,4,135
1684418922,2023-05-18T14:08:42Z,PAL102,"14.50209,121.003395",0,5,112
1684418935,2023-05-18T14:08:55Z,PAL102,"14.502205,121.00367",0,4,75
1684418966,2023-05-18T14:09:26Z,PAL102,"14.502342,121.003906",0,0,64
1684419015,2023-05-18T14:10:15Z,PAL102,"14.502537,121.00425",0,0,61
1684419031,2023-05-18T14:10:31Z,PAL102,"14.502674,121.004494",0,3,61
1684419052,2023-05-18T14:10:52Z,PAL102,"14.502826,121.004768",0,3,61
1684419071,2023-05-18T14:11:11Z,PAL102,"14.502954,121.004997",0,3,59
1684419083,2023-05-18T14:11:23Z,PAL102,"14.503071,121.005211",0,5,59
1684419096,2023-05-18T14:11:36Z,PAL102,"14.503245,121.005524",0,6,61
1684419103,2023-05-18T14:11:43Z,PAL102,"14.503372,121.005753",0,8,59
1684419111,2023-05-18T14:11:51Z,PAL102,"14.503521,121.00602",0,9,59
1684419116,2023-05-18T14:11:56Z,PAL102,"14.503635,121.006226",0,9,59
1684419122,2023-05-18T14:12:02Z,PAL102,"14.503773,121.00647",0,10,61
1684419127,2023-05-18T14:12:07Z,PAL102,"14.503864,121.006721",0,10,70
1684419133,2023-05-18T14:12:13Z,PAL102,"14.503864,121.007004",0,11,84
1684419137,2023-05-18T14:12:17Z,PAL102,"14.50383,121.007217",0,11,95
1684419141,2023-05-18T14:12:21Z,PAL102,"14.503792,121.007431",0,11,98
1684419145,2023-05-18T14:12:25Z,PAL102,"14.503773,121.007645",0,11,95
1684419149,2023-05-18T14:12:29Z,PAL102,"14.503769,121.007851",0,10,92
1684419155,2023-05-18T14:12:35Z,PAL102,"14.503841,121.008095",0,9,78
1684419162,2023-05-18T14:12:42Z,PAL102,"14.503979,121.008316",0,8,64
1684419169,2023-05-18T14:12:49Z,PAL102,"14.504093,121.00853",0,7,61
1684419183,2023-05-18T14:13:03Z,PAL102,"14.504208,121.008743",0,3,61
1684419200,2023-05-18T14:13:20Z,PAL102,"14.504322,121.008949",0,3,61
1684419217,2023-05-18T14:13:37Z,PAL102,"14.504444,121.009163",0,3,61
1684419230,2023-05-18T14:13:50Z,PAL102,"14.50456,121.009369",0,4,61
1684419242,2023-05-18T14:14:02Z,PAL102,"14.504677,121.009598",0,4,61
1684419252,2023-05-18T14:14:12Z,PAL102,"14.504791,121.009811",0,6,61
1684419261,2023-05-18T14:14:21Z,PAL102,"14.504921,121.010033",0,7,59
1684419270,2023-05-18T14:14:30Z,PAL102,"14.505084,121.010323",0,8,61
1684419276,2023-05-18T14:14:36Z,PAL102,"14.5052,121.010536",0,8,59
1684419282,2023-05-18T14:14:42Z,PAL102,"14.505328,121.010757",0,9,59
1684419288,2023-05-18T14:14:48Z,PAL102,"14.505455,121.010994",0,9,59
1684419295,2023-05-18T14:14:55Z,PAL102,"14.505592,121.011246",0,9,59
1684419300,2023-05-18T14:15:00Z,PAL102,"14.505724,121.011467",0,9,61
1684419307,2023-05-18T14:15:07Z,PAL102,"14.505844,121.011681",0,8,61
1684419313,2023-05-18T14:15:13Z,PAL102,"14.50597,121.011909",0,8,59
1684419320,2023-05-18T14:15:20Z,PAL102,"14.506084,121.012115",0,0,61
1684419327,2023-05-18T14:15:27Z,PAL102,"14.50621,121.012329",0,7,61
1684419334,2023-05-18T14:15:34Z,PAL102,"14.506317,121.012535",0,7,61
1684419343,2023-05-18T14:15:43Z,PAL102,"14.506451,121.012772",0,6,61
1684419353,2023-05-18T14:15:53Z,PAL102,"14.506577,121.012993",0,6,59
1684419361,2023-05-18T14:16:01Z,PAL102,"14.50668,121.013199",0,5,59
1684419371,2023-05-18T14:16:11Z,PAL102,"14.506806,121.01342",0,5,61
1684419381,2023-05-18T14:16:21Z,PAL102,"14.506934,121.013649",0,6,61
1684419392,2023-05-18T14:16:32Z,PAL102,"14.507097,121.013947",0,7,61
1684419401,2023-05-18T14:16:41Z,PAL102,"14.50726,121.014221",0,8,59
1684419407,2023-05-18T14:16:47Z,PAL102,"14.507365,121.014427",0,8,61
1684419414,2023-05-18T14:16:54Z,PAL102,"14.507515,121.014702",0,0,61
1684419421,2023-05-18T14:17:01Z,PAL102,"14.50769,121.015007",0,10,61
1684419428,2023-05-18T14:17:08Z,PAL102,"14.507842,121.015282",0,10,61
1684419434,2023-05-18T14:17:14Z,PAL102,"14.507973,121.015518",0,10,59
1684419442,2023-05-18T14:17:22Z,PAL102,"14.508133,121.015816",0,9,61
1684419451,2023-05-18T14:17:31Z,PAL102,"14.508339,121.016182",0,9,61
1684419458,2023-05-18T14:17:38Z,PAL102,"14.508465,121.016403",0,9,61
1684419464,2023-05-18T14:17:44Z,PAL102,"14.508602,121.01664",0,9,61
1684419470,2023-05-18T14:17:50Z,PAL102,"14.508739,121.016899",0,10,59
1684419476,2023-05-18T14:17:56Z,PAL102,"14.508878,121.017151",0,10,59
1684419482,2023-05-18T14:18:02Z,PAL102,"14.509026,121.01741",0,11,61
1684419488,2023-05-18T14:18:08Z,PAL102,"14.509186,121.017693",0,11,61
1684419493,2023-05-18T14:18:13Z,PAL102,"14.509332,121.01796",0,12,61
1684419500,2023-05-18T14:18:20Z,PAL102,"14.509518,121.018311",0,12,61
1684419506,2023-05-18T14:18:26Z,PAL102,"14.509681,121.018585",0,12,61
1684419512,2023-05-18T14:18:32Z,PAL102,"14.509867,121.018921",0,13,61
1684419519,2023-05-18T14:18:39Z,PAL102,"14.510065,121.019272",0,13,59
1684419525,2023-05-18T14:18:45Z,PAL102,"14.510273,121.019646",0,14,61
1684419531,2023-05-18T14:18:51Z,PAL102,"14.510468,121.020004",0,14,61
1684419538,2023-05-18T14:18:58Z,PAL102,"14.510694,121.020401",0,0,61
1684419543,2023-05-18T14:19:03Z,PAL102,"14.510868,121.020744",0,14,61
